ell_s_over_lc,vT_over_lc,rstar_numeric,rstar_theory,abs_error,signed_error,error_in_grid_steps,signed_error_in_grid_steps,radius_step,theory_positive_radius,numeric_positive_radius,classification_match,transition_gap_vT_over_lc
0.05355755600467134,0.21090590129987632,0.0448,0.04480556218670058,5.56218670057923e-06,-5.56218670057923e-06,0.003476366687862019,-0.003476366687862019,0.0016,True,True,True,0.10379078929053365
0.05355755600467134,0.22724671030830257,0.0512,0.05150778976896135,0.00030778976896134874,-0.00030778976896134874,0.19236860560084296,-0.19236860560084296,0.0016,True,True,True,0.12013159829895989
0.05355755600467134,0.24485359123507788,0.0592,0.05863014586233587,0.0005698541376641317,0.0005698541376641317,0.3561588360400823,0.3561588360400823,0.0016,True,True,True,0.1377384792257352
0.05355755600467134,0.26382463825054625,0.0656,0.06619245833169113,0.000592458331691123,-0.000592458331691123,0.37028645730695187,-0.37028645730695187,0.0016,True,True,True,0.15670952624120357
0.05355755600467134,0.28426554577754615,0.0736,0.07421468068157008,0.0006146806815700845,-0.0006146806815700845,0.3841754259813028,-0.3841754259813028,0.0016,True,True,True,0.17715043376820347
0.05355755600467134,0.3062901973524789,0.08320000000000001,0.08271678773748524,0.00048321226251477056,0.00048321226251477056,0.3020076640717316,0.3020076640717316,0.0016,True,True,True,0.19917508534313624
0.05355755600467134,0.3300213001108302,0.0912,0.0917186616755041,0.0005186616755041007,-0.0005186616755041007,0.3241635471900629,-0.3241635471900629,0.0016,True,True,True,0.22290618810148752
0.05355755600467134,0.3555910684320866,0.1008,0.10123996910408053,0.00043996910408053425,-0.00043996910408053425,0.2749806900503339,-0.2749806900503339,0.0016,True,True,True,0.24847595642274392
0.05355755600467134,0.3831419605528771,0.112,0.11130003018002439,0.0006999698199756099,0.0006999698199756099,0.4374811374847562,0.4374811374847562,0.0016,True,True,True,0.27602684854353443
0.05355755600467134,0.41282747225227034,0.1216,0.12191768102766833,0.0003176810276683262,-0.0003176810276683262,0.19855064229270386,-0.19855064229270386,0.0016,True,True,True,0.3057123602429277
0.05355755600467134,0.4448129920311316,0.1328,0.13311113101721223,0.0003111310172122239,-0.0003111310172122239,0.19445688575763995,-0.19445688575763995,0.0016,True,True,True,0.3376978800217889
0.05355755600467134,0.47927672255004444,0.1456,0.1448978167338711,0.0007021832661289196,0.0007021832661289196,0.43886454133057473,0.43886454133057473,0.0016,True,True,True,0.37216161054070174
0.05355755600467134,0.516410673459456,0.1568,0.15729425472164926,0.0004942547216492676,-0.0004942547216492676,0.3089092010307923,-0.3089092010307923,0.0016,True,True,True,0.40929556145011337
0.05355755600467134,0.5564217311534528,0.1696,0.17031589530152702,0.0007158953015270197,-0.0007158953015270197,0.4474345634543873,-0.4474345634543873,0.0016,True,True,True,0.4493066191441102
0.05355755600467134,0.5995328114071461,0.184,0.1839769799308224,2.3020069177592806e-05,2.3020069177592806e-05,0.014387543235995504,0.014387543235995504,0.0016,True,True,True,0.49241769939780344
0.05355755600467134,0.6459841013194154,0.19840000000000002,0.19829040467659612,0.00010959532340390488,0.00010959532340390488,0.06849707712744055,0.06849707712744055,0.0016,True,True,True,0.5388689893100728
0.05355755600467134,0.696034397480316,0.21280000000000002,0.21326759241095516,0.0004675924109551477,-0.0004675924109551477,0.2922452568469673,-0.2922452568469673,0.0016,True,True,True,0.5889192854709734
0.05355755600467134,0.7499625478185521,0.2288,0.22891837629226622,0.0001183762922662146,-0.0001183762922662146,0.07398518266638412,-0.07398518266638412,0.0016,True,True,True,0.6428474358092094
0.05355755600467134,0.8080690051620618,0.24480000000000002,0.24525089696912894,0.0004508969691289222,-0.0004508969691289222,0.28181060570557637,-0.28181060570557637,0.0016,True,True,True,0.7009538931527192
0.05355755600467134,0.8706775011671474,0.2624,0.26227151573285534,0.00012848426714467953,0.00012848426714467953,0.08030266696542471,0.08030266696542471,0.0016,True,True,True,0.7635623891578047
0.05355755600467134,0.9381368499422049,0.28,0.27998474555272507,1.5254447274959393e-05,1.5254447274959393e-05,0.00953402954684962,0.00953402954684962,0.0016,True,True,True,0.8310217379328623
0.05355755600467134,1.0108228914146788,0.29760000000000003,0.2983932015643144,0.0007932015643143941,-0.0007932015643143941,0.49575097769649634,-0.49575097769649634,0.0016,True,True,True,0.9037077794053362
0.05355755600467134,1.0891405852684266,0.3168,0.3174975721566522,0.0006975721566521709,-0.0006975721566521709,0.4359825979076068,-0.4359825979076068,0.0016,True,True,True,0.982025473259084
0.05355755600467134,1.173526267117564,0.3376,0.3372966113343039,0.0003033886656961249,0.0003033886656961249,0.18961791606007805,0.18961791606007805,0.0016,True,True,True,1.0664111551082212
0.05355755600467134,1.264450079486729,0.3584,0.35778715253384263,0.0006128474661573624,0.0006128474661573624,0.3830296663483515,0.3830296663483515,0.0016,True,True,True,1.1573349674773863
0.05355755600467134,1.3624185911416191,0.37920000000000004,0.37896414357033537,0.00023585642966467146,0.00023585642966467146,0.14741026854041966,0.14741026854041966,0.0016,True,True,True,1.2553034791322764
0.05355755600467134,1.467977619363024,0.4016,0.4008207018986393,0.000779298101360737,0.000779298101360737,0.4870613133504606,0.4870613133504606,0.0016,True,True,True,1.3608625073536813
0.05355755600467134,1.581715270888233,0.42400000000000004,0.4233481889158959,0.0006518110841041702,0.0006518110841041702,0.4073819275651064,0.4073819275651064,0.0016,True,True,True,1.4746001588788902
0.05355755600467134,1.7042652184619906,0.4464,0.4465363016231093,0.00013630162310929173,-0.00013630162310929173,0.08518851444330733,-0.08518851444330733,0.0016,True,True,True,1.5971501064526479
