regime,radius,radius_over_lc,total,temporal,spatial,mc_total,mc_se,mc_ci_low,mc_ci_high,variance_total,mT,mS
interior,0.352,0.352,0.4517300548400329,0.16138201666292595,0.29034803817710697,0.45077659072636167,0.0028519945545334943,0.44518668139947604,0.4563665000532473,0.4517300548400329,0.5,1.0591426385496763
interior,0.354,0.354,0.4511201367723409,0.16222021547700616,0.28889992129533476,0.451761303937134,0.002859770156561952,0.44615615443027257,0.4573664534439954,0.4511201367723409,0.5,1.0526890879052255
interior,0.356,0.356,0.4505166034378737,0.16305757651123187,0.2874590269266418,0.44657059997225057,0.002809775336672924,0.44106344031237166,0.4520777596321295,0.4505166034378737,0.5,1.0462883090741062
interior,0.358,0.358,0.44991941965155846,0.1638941006029645,0.28602531904859396,0.4503465111183255,0.0028594951935040414,0.4447419005390576,0.45595112169759344,0.44991941965155846,0.5,1.0399397079875639
interior,0.36,0.36,0.4493285504071474,0.164729788588728,0.2845987618184194,0.45126031397813465,0.0028587938853799366,0.44565707796278997,0.45686354999347933,0.4493285504071474,0.5,1.0336426993948638
interior,0.362,0.362,0.4487439608763236,0.16556464130421045,0.2831793195721132,0.44829829627727624,0.0028505032092443782,0.44271130998715724,0.45388528256739524,0.4487439608763236,0.5,1.0273967067001357
interior,0.364,0.364,0.4481656164078099,0.1663986595842647,0.2817669568235452,0.4503722753915057,0.002871799689212362,0.44474354800064947,0.45600100278236194,0.4481656164078099,0.5,1.021201161802825
interior,0.366,0.366,0.4475934825264822,0.16723184426290905,0.28036163826357313,0.446441091404243,0.002839753661733907,0.44087517422724454,0.45200700858124143,0.4475934825264822,0.5,1.0150555049416614
interior,0.368,0.368,0.4470275249324882,0.16806419617332824,0.27896332875915997,0.44775626528769613,0.0028356615668177036,0.44219836861673345,0.4533141619586588,0.4470275249324882,0.5,1.0089591845420576
interior,0.37,0.37,0.44646770950036935,0.16889571614787435,0.277571993352495,0.44913021380752516,0.0028484601440575317,0.44354723192517237,0.45471319568987795,0.44646770950036935,0.5,1.0029116570668435
interior,0.372,0.372,0.4459140022781881,0.16972640501806735,0.27618759726012077,0.4450875498504797,0.0028420732340801347,0.4395170863116826,0.4506580133892768,0.4459140022781881,0.5,0.9969123868702611
interior,0.374,0.374,0.4453663694866589,0.17055626361459608,0.27481010587206284,0.4430197447253735,0.002791672637959414,0.437548066354973,0.44849142309577394,0.4453663694866589,0.5,0.9909608460551244
interior,0.376,0.376,0.4448247775182842,0.1713852927673194,0.2734394847509648,0.4442244406577139,0.0027955142677535036,0.438745232692917,0.4497036486225108,0.4448247775182842,0.5,0.9850565143330771
interior,0.378,0.378,0.44428919293649344,0.17221349330526636,0.2720756996312271,0.43938864431204144,0.0027689113670721697,0.43396157803258,0.4448157105915029,0.44428919293649344,0.5,0.9791988788878613
interior,0.38,0.38,0.4437595824747885,0.1730408660566377,0.2707187164181508,0.43953193792011297,0.0027720214391825163,0.4340987758993152,0.4449650999409107,0.4437595824747885,0.5,0.9733874342415276
interior,0.382,0.382,0.44323591303589116,0.17386741184880616,0.269368501187085,0.44359409416715645,0.0028097947663449645,0.43808689642512033,0.44910129190919257,0.44323591303589116,0.5,0.9676216821235077
interior,0.384,0.384,0.44271815169089607,0.17469313150831767,0.2680250201825784,0.4368170215966331,0.0027501542325326696,0.43142671930086907,0.44220732389239714,0.44271815169089607,0.5,0.9619011313424823
interior,0.386,0.386,0.44220626567842786,0.17551802586089182,0.26668823981753603,0.44537716254530135,0.0028322957592914364,0.43982586285709013,0.4509284622335126,0.44220626567842786,0.5,0.956225297660975
interior,0.388,0.388,0.44170022240380225,0.17634209573142312,0.2653581266723791,0.44355492767771676,0.0028225022810648925,0.43802282320682956,0.44908703214860396,0.44170022240380225,0.5,0.9505937036725997
interior,0.39,0.39,0.44119998943819144,0.1771653419439816,0.26403464749420985,0.4436656127223141,0.002788028222500896,0.43820107740621234,0.44913014803841583,0.44119998943819144,0.5,0.9450058786819049
interior,0.392,0.392,0.44070553451779315,0.17798776532181348,0.26271776919597967,0.44100094706953424,0.0027819399560560214,0.43554834475566445,0.44645354938340404,0.44070553451779315,0.5,0.9394613585867412
interior,0.394,0.394,0.4402168255430047,0.17880936668734204,0.26140745885566263,0.43970765240340226,0.0027743584363096384,0.4342699098682354,0.44514539493856914,0.4402168255430047,0.5,0.933959685763099
interior,0.396,0.396,0.4397338305776009,0.17963014686216894,0.26010368371543197,0.43782291793845324,0.002793972226376217,0.43234673237475585,0.4432991035021506,0.4397338305776009,0.5,0.9285004089523498
interior,0.398,0.398,0.43925651784791564,0.1804501066670744,0.25880641118084124,0.4385746369330502,0.002779164118943258,0.4331274752599214,0.444021798606179,0.43925651784791564,0.5,0.9230830831508373
interior,0.4,0.4,0.4387848557420278,0.18126924692201818,0.2575156088200096,0.43922331034082324,0.002777469685588055,0.43377946975707066,0.4446671509245758,0.4387848557420278,0.5,0.9177072695017585
interior,0.402,0.402,0.4383188128089513,0.1820875684461406,0.2562312443628107,0.4361031817397623,0.0027398726357281806,0.4307330313737351,0.44147333210578954,0.4383188128089513,0.5,0.9123725351892795
