system,n,rho,rinf,mc_regret,mc_se,cov_regret,mc_normalized,cov_normalized,theory_normalized
B,20,1.75,7.159866681915648,6.935359212710851,0.0297095656621013,6.943657442469157,0.968643624360792,0.9698026165776815,0.9698026165776815
B,20,1.875,7.159866681915648,6.992504457863985,0.030103000237065795,6.991482756927448,0.9766249524625389,0.9764822541439909,0.9764822541439909
B,20,2.0,7.159866681915648,6.99525575922184,0.02980262076245516,7.028729149278201,0.9770092195837137,0.9816843611112658,0.9816843611112658
B,20,2.125,7.159866681915648,7.036393725262529,0.03003698603523296,7.057736668807553,0.9827548525498406,0.9857357660910008,0.9857357660910008
B,20,2.25,7.159866681915648,7.082427632510566,0.030654457549520706,7.08032774773197,0.9891842889196978,0.9888910034617577,0.9888910034617577
B,20,2.375,7.159866681915648,7.076449606086909,0.030224523444980216,7.097921697688735,0.9883493534817578,0.9913483047968794,0.9913483047968794
B,20,2.5,7.159866681915648,7.166068061061928,0.031010362120545126,7.111623879692382,1.0008661305331206,0.9932620530009145,0.9932620530009145
B,20,2.625,7.159866681915648,7.123054877009301,0.030430501963589072,7.12229514976661,0.9948585907333547,0.9947524816008187,0.9947524816008186
B,20,2.75,7.159866681915648,7.14851510784743,0.030406386677173925,7.130605943256785,0.998414555106607,0.995913228561536,0.995913228561536
B,20,2.875,7.159866681915648,7.1422102418605995,0.03083386184024963,7.137078395734877,0.9975339708350095,0.9968172192034903,0.9968172192034903
B,20,3.0,7.159866681915648,7.111604544524481,0.030521693602820813,7.142119146793208,0.9932593525081875,0.9975212478233336,0.9975212478233336
C,50,0.0,65.39193409851538,0.0,0.0,0.0,0.0,0.0,0.0
C,50,0.125,65.39193409851538,14.451242865221337,0.046535891208585006,14.4646446160379,0.22099427191509588,0.22119921692859512,0.22119921692859512
C,50,0.25,65.39193409851538,25.565955919162445,0.08307898040949149,25.729721169857797,0.3909649755984642,0.3934693402873666,0.3934693402873666
C,50,0.375,65.39193409851538,34.547673738204594,0.11053538721240755,34.50297161133206,0.5283170503285197,0.5276334472589853,0.5276334472589853
C,50,0.5,65.39193409851538,41.50481648367675,0.13561109726834708,41.33558592523376,0.634708501222004,0.6321205588285577,0.6321205588285577
C,50,0.625,65.39193409851538,46.55321897457992,0.15167287501690124,46.65683130332529,0.7119107213505226,0.7134952031398099,0.7134952031398099
C,50,0.75,65.39193409851538,50.89096565973209,0.1650981031040828,50.801021370698074,0.7782453044294876,0.7768698398515702,0.7768698398515702
C,50,0.875,65.39193409851538,54.22859999681395,0.17824962620663806,54.02851984036473,0.8292857635181206,0.8262260565495548,0.8262260565495548
C,50,1.0,65.39193409851538,56.31730359694692,0.18398883879940042,56.542098175902886,0.8612270668138186,0.8646647167633873,0.8646647167633873
C,50,1.125,65.39193409851538,58.47774532084738,0.19046570952007175,58.49967495193132,0.8942654186179673,0.8946007754381357,0.8946007754381357
C,50,1.25,65.39193409851538,60.028805163591684,0.19498955912180027,60.02423727802466,0.9179848553363792,0.9179150013761012,0.9179150013761012
C,50,1.375,65.39193409851538,61.23054881907629,0.19707414036005805,61.21156761142732,0.936362407125475,0.9360721387932924,0.9360721387932924
C,50,1.5,65.39193409851538,61.879008431109135,0.20318387517918196,62.13626140484574,0.9462789147341338,0.950212931632136,0.950212931632136
C,50,1.625,65.39193409851538,62.5664980656474,0.202919920318894,62.85641365526127,0.9567922852899358,0.961225792168278,0.961225792168278
C,50,1.75,65.39193409851538,63.524558015508134,0.20710927884374425,63.41726879181553,0.9714433269370198,0.9698026165776815,0.9698026165776815
C,50,1.875,65.39193409851538,63.99200155904519,0.20907715340103725,63.8540632113536,0.9785916633485541,0.9764822541439909,0.9764822541439909
C,50,2.0,65.39193409851538,63.98219420490547,0.2076760295914018,64.19423904733107,0.9784416853080674,0.9816843611112658,0.9816843611112658
C,50,2.125,65.39193409851538,64.53404711049143,0.21010400343315272,64.4591682547723,0.9868808439473359,0.9857357660910008,0.9857357660910008
C,50,2.25,65.39193409851538,65.3050764209472,0.2128932645236352,64.665495328986,0.9986717371375295,0.9888910034617576,0.9888910034617577
C,50,2.375,65.39193409851538,64.78246887780931,0.21328249840908106,64.82618301595248,0.990679810452037,0.9913483047968795,0.9913483047968794
C,50,2.5,65.39193409851538,65.06375426303775,0.21203696252572082,64.95132671239189,0.9949813407417616,0.9932620530009145,0.9932620530009145
C,50,2.625,65.39193409851538,65.07343669249558,0.21150633802564214,65.04878872117537,0.9951294083833034,0.9947524816008187,0.9947524816008186
C,50,2.75,65.39193409851538,65.1367716130692,0.21223729455195384,65.12469220993565,0.9960979516975019,0.995913228561536,0.995913228561536
C,50,2.875,65.39193409851538,65.5578655687884,0.21338954471421182,65.18380590641999,1.0025374913979916,0.9968172192034902,0.9968172192034903
C,50,3.0,65.39193409851538,65.62126842807017,0.21326218990051599,65.22984369953225,1.0035070736584926,0.9975212478233335,0.9975212478233336
D,32,0.0,101.80607871736578,0.0,0.0,0.0,0.0,0.0,0.0
D,32,0.125,101.80607871736578,22.559418609457115,0.205820831770413,22.519424890852225,0.2215920590762229,0.22119921692859512,0.22119921692859512
