ell_c,radius,eta_S,regret,state_correlation
2.0,31,7.124900935630689e-16,0.7106157820609496,8.766094036415697e-10
2.0,32,4.5094309719181576e-17,0.7219626995468058,6.90767142247993e-10
6.0,0,0.5723910808983853,0.5723910808983853,1.0
6.0,1,0.42190500938135583,0.4445724381867454,0.6603025416954509
6.0,2,0.3024983035609322,0.3561247823846875,0.38405052618918545
6.0,3,0.21675455105246802,0.3053236043627289,0.21166839498729934
6.0,4,0.1553062551822429,0.2801994717749383,0.11320957792108573
6.0,5,0.11127582595114749,0.27237418770237565,0.05939725607093757
6.0,6,0.07972656978336577,0.27608727999230886,0.030749925520648112
6.0,7,0.057120532088316314,0.2873870279999241,0.01576326189434027
6.0,8,0.040922597381939395,0.3035668676097587,0.008019856742287512
6.0,9,0.02931626987142349,0.32277694138697055,0.004055911615333591
6.0,10,0.020999972756550755,0.3437566566692789,0.0020412732443410462
6.0,11,0.015041085414888418,0.3656505857366692,0.00102321630791954
6.0,12,0.010771355938788576,0.38788174435601397,0.0005111683209105591
6.0,13,0.007711960875630358,0.4100643712355101,0.00025462800165272745
6.0,14,0.0055198081670569995,0.4319439006069148,0.00012652183782104593
6.0,15,0.003949061504322386,0.4533556548111968,6.273073391590537e-05
6.0,16,0.002823571292816431,0.474196423708399,3.104304128730308e-05
6.0,17,0.002017120522039653,0.49440491516652507,1.5335973107471984e-05
6.0,18,0.0014392702240116372,0.513948312068502,7.564854906775384e-06
6.0,19,0.0010252171529562392,0.532813032632923,3.726481718486367e-06
6.0,20,0.000728526252278132,0.5509983838290466,1.833427456899416e-06
6.0,21,0.0005159228508987326,0.5685122058949308,9.01040095590216e-07
6.0,22,0.00036356051485234367,0.5853678870073414,4.4236730108466175e-07
6.0,23,0.000254346019222161,0.6015823206471699,2.1697926219150854e-07
6.0,24,0.00017602170231989338,0.6171745114824835,1.0633702395409837e-07
6.0,25,0.00011979124638530878,0.6321646275653351,5.2073773701920114e-08
6.0,26,7.933846293675746e-05,0.6465733605924042,2.5484862565061438e-08
6.0,27,5.014018518060133e-05,0.6604215017376032,1.2469328643595912e-08
6.0,28,2.902718935592237e-05,0.673729676362342,6.108495009919758e-09
6.0,29,1.40146125211902e-05,0.6865182125047504,3.0138747421585457e-09
6.0,30,4.411040563099494e-06,0.6988071166676839,1.5337106307888422e-09
6.0,31,3.720474570594812e-07,0.7106158897256118,8.766094036415697e-10
6.0,32,2.9292540122245987e-17,0.7219626995468058,6.90767142247993e-10
