graph,radius,eta_S,regret,is_optimum,rstar,rstar_regret,left_regret_gap,right_regret_gap
ring,7,0.0002627516012420161,0.28556466254928037,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,8,9.666091248980435e-05,0.31893441160572955,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,9,3.555956252770439e-05,0.3508137089162764,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,10,1.3081632037196926e-05,0.3812247028905015,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,11,4.812463528721084e-06,0.4102194806980478,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,12,1.7704064385258674e-06,0.43785855002378193,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,13,6.512961757672637e-07,0.4642033912950535,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,14,2.395985171914256e-07,0.4893139389934644,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,15,8.814341196022787e-08,0.513247786944033,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,16,3.242619157974829e-08,0.5360599939521613,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,17,1.1928970644611557e-08,0.5578030959950553,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,18,4.388463032651177e-09,0.5785271870737003,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,19,1.6144635470803545e-09,0.5982800205509762,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,20,5.939639604057465e-10,0.6171071142523126,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,21,2.1854036617937814e-10,0.6350518536252622,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,22,8.042633832648416e-11,0.6521555911108883,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,23,2.9612819606437185e-11,0.6684577412249382,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,24,1.0914572677426673e-11,0.6839958713115866,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,25,4.029973540549993e-12,0.6988057880890117,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,26,1.490842726072825e-12,0.7129216201547264,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,27,5.499503838432759e-13,0.7263758966297424,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,28,1.9759986052425445e-13,0.7391996221189279,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,29,6.37932338090039e-14,0.7514223481589362,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,30,1.437437677483552e-14,0.7630722413178816,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,31,8.997268853642736e-16,0.7741761481035243,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,32,1.2279737018095071e-16,0.7847596568294825,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
grid,0,0.47072449914084563,0.4707244991408457,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,1,0.2046631100462491,0.24193753807593676,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,2,0.08073302673044415,0.1648790336242153,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,3,0.029541502839516214,0.1596918773087883,True,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,4,0.010049424982463011,0.18298699097073623,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,5,0.0031280405848476346,0.21583274280803455,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,6,0.0008666932244222185,0.25088822105288433,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,7,0.00021664062200274018,0.28553171057808413,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,8,5.168036741449287e-05,0.31890377394286706,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,9,1.1360131742646356e-05,0.35079799841890036,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,10,2.2322122614796564e-06,0.3812179894497335,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,11,3.6938150876444e-07,0.41021686024221593,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,12,4.584001811643168e-08,0.43785758057179747,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,13,3.1962282729499657e-09,0.4642030440450733,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
grid,14,1.5455164035637728e-17,0.4893138166338121,False,3,0.1596918773087883,0.005187156315426988,0.02329511366194792
geometric,0,0.46469988840130005,0.46469988840130005,False,2,0.14175328079728855,0.07390982693543657,0.003615944074949251
geometric,1,0.17709674874478448,0.21566310773272512,False,2,0.14175328079728855,0.07390982693543657,0.003615944074949251
geometric,2,0.05527714469452022,0.14175328079728855,True,2,0.14175328079728855,0.07390982693543657,0.003615944074949251
geometric,3,0.013000499148618318,0.1453692248722378,False,2,0.14175328079728855,0.07390982693543657,0.003615944074949251
